nome_cliente,status_conta,duracao_meses,historico_credito,finalidade,valor,poupanca,tempo_emprego,taxa_parcela,estado_civil_sexo,outros_devedores,tempo_residencia,propriedade,idade,outros_planos,moradia,num_creditos,trabalho,dependentes,telefone,trabalhador_estrangeiro,risco_credito
José Bastos Kruger,Sem conta corrente,24,existing credits paid back duly till now,Eletrodomésticos,8575,500 <= ... < 1000 DM,... >= 7 years,3,male : single,none,2,car or other,31,none,Própria,1,Emprego qualificado,2,yes,yes,1
Yuri Coutinho Borges,Sem conta corrente,9,critical account/other credits existing,Carro novo,5335,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,car or other,48,none,Própria,3,Emprego qualificado,1,yes,yes,1
Marcos Teixeira Cruz,Saldo < R$500,6,existing credits paid back duly till now,Eletrodomésticos,6617,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male : single,none,3,real estate,44,none,Alugada,1,Emprego qualificado,2,no,yes,1
Theo Torres Reis,Saldo < R$500,10,critical account/other credits existing,Carro novo,5602,... < 100 DM,... < 1 year,1,male : single,none,3,real estate,48,none,Alugada,2,Emprego não qualificado,2,no,no,1
Renato Souza Santos,Saldo entre R$500 e R$1000,12,critical account/other credits existing,Carro usado,4510,100 <= ... < 500 DM,... < 1 year,3,male : single,none,4,building society savings agreement/life insurance,44,none,Própria,1,Emprego qualificado,1,no,yes,1
Pedro Assis Souza,Sem conta corrente,10,critical account/other credits existing,Eletrônicos,5172,unknown/no savings account,1 <= ... < 4 years,2,male : married/widowed,none,1,car or other,26,none,Própria,2,Emprego qualificado,1,no,no,1
Adriano Lacerda Guimarães,Saldo < R$500,6,existing credits paid back duly till now,Eletrônicos,3435,... < 100 DM,1 <= ... < 4 years,1,male : single,none,2,real estate,36,bank,Própria,1,Emprego não qualificado,1,yes,yes,1
Eduardo Goulart Borges,Sem conta corrente,6,no credits taken/all credits paid back duly,Eletrodomésticos,1065,... < 100 DM,... >= 7 years,4,male : married/widowed,none,4,car or other,39,none,Própria,1,Emprego não qualificado,1,no,yes,1
Davi Queiroz Mello,Outros,12,all credits at this bank paid back duly,Eletrodomésticos,1022,... >= 1000 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,3,real estate,42,none,Alugada,2,Emprego qualificado,1,no,yes,1
Gustavo Macedo Monteiro,Saldo entre R$500 e R$1000,7,existing credits paid back duly till now,Eletrodomésticos,6037,... < 100 DM,1 <= ... < 4 years,3,male : single,guarantor,2,real estate,34,none,Própria,1,Emprego qualificado,1,no,yes,1
Mateus Cunha Veloso,Saldo < R$500,60,delay in paying off in the past,Outros,17090,... < 100 DM,... >= 7 years,3,male : single,none,4,unknown/no property,63,none,Própria,2,Emprego qualificado,1,yes,yes,0
Luiz Mello Araújo,Saldo entre R$500 e R$1000,18,existing credits paid back duly till now,Outros,4782,... >= 1000 DM,... < 1 year,3,male : married/widowed,none,3,real estate,36,bank,Própria,1,Emprego qualificado,1,yes,yes,1
Antônio Rabelo Matos,Saldo < R$500,24,existing credits paid back duly till now,Eletrônicos,10050,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,27,stores,Própria,1,Emprego qualificado,1,no,yes,1
Leandro Andrade Nunes,Saldo entre R$500 e R$1000,18,existing credits paid back duly till now,Carro novo,14665,100 <= ... < 500 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,30,none,Própria,2,Emprego qualificado,1,yes,yes,1
Marcos Fogaça Ramos,Sem conta corrente,12,critical account/other credits existing,Outros,3160,unknown/no savings account,... >= 7 years,4,male : single,none,4,unknown/no property,57,none,Alugada,1,Emprego não qualificado,1,no,yes,1
Alexandre Almeida Campos,Outros,12,existing credits paid back duly till now,Eletrônicos,3685,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/life insurance,33,bank,Própria,1,Outros,1,yes,yes,1
Ryan Fonseca Coutinho,Saldo entre R$500 e R$1000,45,critical account/other credits existing,Eletrodomésticos,11865,... < 100 DM,... < 1 year,4,male : single,none,2,building society savings agreement/life insurance,25,none,Própria,2,Emprego não qualificado,1,no,yes,0
Luiz Cavalcante Silva,Sem conta corrente,48,critical account/other credits existing,Educação,15275,... < 100 DM,1 <= ... < 4 years,1,male : single,none,3,unknown/no property,31,bank,Cedida,1,Emprego qualificado,1,yes,yes,1
Marcos Cavalcante Guimarães,Outros,18,existing credits paid back duly till now,Eletrodomésticos,5250,... < 100 DM,1 <= ... < 4 years,4,male : single,co-applicant,2,real estate,37,stores,Própria,1,Emprego qualificado,1,no,yes,0
Gabriel Torres Pereira,Outros,10,existing credits paid back duly till now,Outros,3062,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,37,none,Própria,1,Emprego qualificado,1,yes,yes,1
Heitor Cruz Neves,Saldo entre R$500 e R$1000,9,existing credits paid back duly till now,Eletrodomésticos,1145,... < 100 DM,1 <= ... < 4 years,4,male : single,none,3,real estate,24,none,Própria,1,Emprego qualificado,1,no,yes,1
Carlos Ramos Machado,Sem conta corrente,30,existing credits paid back duly till now,Eletrodomésticos,5832,500 <= ... < 1000 DM,... >= 7 years,4,male : single,none,2,car or other,30,bank,Própria,1,Outros,1,no,yes,1
Lucas Pacheco Cunha,Saldo entre R$500 e R$1000,12,existing credits paid back duly till now,Eletrodomésticos,2895,500 <= ... < 1000 DM,1 <= ... < 4 years,3,male : divorced/separated,none,1,car or other,26,none,Própria,1,Emprego qualificado,1,yes,yes,1
Rafael Coelho Neves,Saldo entre R$500 e R$1000,18,delay in paying off in the past,Outros,15510,... < 100 DM,1 <= ... < 4 years,2,male : single,none,4,real estate,44,none,Própria,1,Emprego não qualificado,2,yes,yes,1
Fabio Nascimento Mello,Saldo < R$500,30,critical account/other credits existing,Carro usado,15467,100 <= ... < 500 DM,4 <= ... < 7 years,1,male : married/widowed,none,4,car or other,24,none,Alugada,2,Emprego qualificado,1,no,yes,1
Paulo Sales Neto,Saldo < R$500,48,critical account/other credits existing,Carro usado,15357,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,4,unknown/no property,58,stores,Cedida,2,Emprego não qualificado,1,no,yes,0
Sérgio Carneiro Klein,Sem conta corrente,11,critical account/other credits existing,Carro novo,3482,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,4,car or other,35,none,Própria,2,Outros,1,no,yes,1
Heitor Brito Neto,Sem conta corrente,36,existing credits paid back duly till now,Eletrodomésticos,5747,500 <= ... < 1000 DM,... >= 7 years,4,male : single,none,4,car or other,39,none,Própria,1,Emprego qualificado,1,no,yes,1
Jorge Veloso Oliveira,Saldo < R$500,6,existing credits paid back duly till now,Carro usado,3380,500 <= ... < 1000 DM,unemployed,1,female : divorced/separated/married,none,2,building society savings agreement/life insurance,23,none,Alugada,1,Outros,1,yes,yes,1
João Rodrigues Goulart,Sem conta corrente,11,critical account/other credits existing,Carro novo,18070,... < 100 DM,1 <= ... < 4 years,1,male : single,none,4,building society savings agreement/life insurance,39,none,Própria,2,Emprego não qualificado,1,no,yes,1
Gustavo Marques Lima,Sem conta corrente,12,existing credits paid back duly till now,Eletrodomésticos,5182,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,co-applicant,2,real estate,28,none,Própria,1,Emprego qualificado,1,no,yes,1
Davi Lucas Almeida Goulart,Saldo entre R$500 e R$1000,24,delay in paying off in the past,Eletrônicos,5832,unknown/no savings account,... < 1 year,4,male : single,none,2,building society savings agreement/life insurance,29,bank,Própria,1,Emprego não qualificado,1,no,yes,1
Igor Leal Cavalcanti,Saldo entre R$500 e R$1000,27,delay in paying off in the past,Carro usado,14912,... < 100 DM,... >= 7 years,1,male : single,none,2,car or other,30,none,Própria,2,Outros,1,yes,yes,1
Breno Magalhães Dantas,Sem conta corrente,12,existing credits paid back duly till now,Eletrodomésticos,3155,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,car or other,25,none,Própria,1,Emprego qualificado,1,no,yes,1
Francisco Lobato Nascimento,Sem conta corrente,18,existing credits paid back duly till now,Carro usado,8445,unknown/no savings account,1 <= ... < 4 years,2,male : single,none,1,building society savings agreement/life insurance,31,none,Própria,1,Emprego qualificado,1,yes,yes,1
Mateus Braga Mendes,Saldo entre R$500 e R$1000,36,delay in paying off in the past,Carro novo,5562,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown/no property,57,bank,Cedida,2,Emprego qualificado,1,yes,yes,0
Lorenzo Martins Pinto,Sem conta corrente,6,all credits at this bank paid back duly,Carro novo,1957,unknown/no savings account,1 <= ... < 4 years,1,male : single,guarantor,2,real estate,26,stores,Própria,1,Emprego não qualificado,2,no,yes,1
Isaac Estrada Carneiro,Saldo entre R$500 e R$1000,12,existing credits paid back duly till now,Eletrodomésticos,16170,unknown/no savings account,unemployed,2,male : single,none,1,unknown/no property,52,none,Própria,1,Outros,1,yes,yes,0
Ricardo Fraga Medeiros,Sem conta corrente,36,critical account/other credits existing,Eletrodomésticos,23915,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,car or other,31,stores,Própria,2,Emprego qualificado,1,no,yes,1
Mário Mello Aguiar,Outros,18,existing credits paid back duly till now,Carro novo,4902,... < 100 DM,... >= 7 years,3,female : divorced/separated/married,none,2,car or other,23,none,Própria,1,Outros,1,no,yes,1
Pedro Machado Borges,Saldo < R$500,36,critical account/other credits existing,Eletrônicos,15572,... < 100 DM,... < 1 year,4,female : divorced/separated/married,co-applicant,4,unknown/no property,23,none,Alugada,2,Emprego não qualificado,1,yes,yes,0
José Freitas Mello,Saldo entre R$500 e R$1000,9,existing credits paid back duly till now,Outros,3477,... < 100 DM,1 <= ... < 4 years,2,male : married/widowed,none,1,real estate,27,bank,Própria,1,Emprego qualificado,1,yes,yes,1
Kaique Kruger Fonseca,Saldo entre R$500 e R$1000,15,critical account/other credits existing,Eletrodomésticos,3842,unknown/no savings account,... >= 7 years,4,male : single,guarantor,4,real estate,50,none,Própria,2,Emprego qualificado,1,yes,yes,1
Augusto Morais Silva,Saldo entre R$500 e R$1000,36,no credits taken/all credits paid back duly,Outros,4882,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown/no property,61,none,Cedida,1,Outros,1,yes,yes,0
Guilherme Mello Leal,Saldo entre R$500 e R$1000,48,no credits taken/all credits paid back duly,Outros,36052,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,25,none,Própria,1,Emprego qualificado,1,yes,yes,0
Antônio Maia Cunha,Sem conta corrente,24,existing credits paid back duly till now,Eletrodomésticos,7952,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/life insurance,26,none,Própria,1,Emprego qualificado,1,yes,yes,1
Guilherme Lima Mello,Sem conta corrente,27,existing credits paid back duly till now,Outros,12975,unknown/no savings account,... >= 7 years,4,male : single,none,4,building society savings agreement/life insurance,48,none,Própria,4,Emprego qualificado,2,yes,yes,1
Miguel Morais Cavalcanti,Sem conta corrente,12,existing credits paid back duly till now,Eletrodomésticos,5427,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,2,car or other,29,bank,Própria,1,Emprego qualificado,1,no,yes,1
Sérgio Andrade Amorim,Saldo entre R$500 e R$1000,12,existing credits paid back duly till now,Carro novo,2517,... >= 1000 DM,1 <= ... < 4 years,4,male : married/widowed,none,1,real estate,22,none,Própria,1,Emprego qualificado,1,no,yes,1
Murilo Pinto Magalhães,Sem conta corrente,36,existing credits paid back duly till now,Educação,4547,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,unknown/no property,37,stores,Cedida,1,Emprego qualificado,1,yes,yes,0
Paulo Dantas Mello,Sem conta corrente,36,existing credits paid back duly till now,Eletrodomésticos,5985,unknown/no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,car or other,25,none,Própria,1,Emprego qualificado,1,no,yes,1
Caio Dantas Ribeiro,Sem conta corrente,36,existing credits paid back duly till now,Carro usado,20332,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,building society savings agreement/life insurance,30,bank,Própria,1,Emprego qualificado,1,no,yes,1
Nicolas Santos Oliveira,Sem conta corrente,7,critical account/other credits existing,Eletrodomésticos,1825,unknown/no savings account,... >= 7 years,4,male : single,none,2,building society savings agreement/life insurance,46,none,Alugada,2,Emprego não qualificado,1,yes,yes,1
Tiago Torres Estrada,Saldo < R$500,8,critical account/other credits existing,Outros,2910,... < 100 DM,... >= 7 years,3,male : single,none,4,unknown/no property,51,bank,Cedida,2,Outros,2,yes,yes,1
José Santos Kruger,Saldo entre R$500 e R$1000,42,critical account/other credits existing,Outros,14885,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,1,real estate,41,bank,Própria,2,Emprego não qualificado,1,no,yes,1
Adriano Castro Magalhães,Saldo < R$500,36,existing credits paid back duly till now,Educação,4942,unknown/no savings account,... >= 7 years,4,male : single,none,4,unknown/no property,40,none,Própria,1,Outros,1,yes,yes,0
João Vieira Santos,Saldo < R$500,12,critical account/other credits existing,Carro usado,3815,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown/no property,66,none,Cedida,2,Outros,1,no,yes,1
Leandro Borges Goulart,Saldo < R$500,42,existing credits paid back duly till now,Eletrodomésticos,9912,... < 100 DM,... < 1 year,4,male : single,none,3,car or other,34,none,Própria,1,Emprego qualificado,1,no,yes,0
Samuel Maia Pinto,Saldo entre R$500 e R$1000,11,delay in paying off in the past,Eletrodomésticos,11927,... < 100 DM,4 <= ... < 7 years,2,male : single,none,4,building society savings agreement/life insurance,51,none,Própria,1,Emprego qualificado,1,no,yes,1
Noah Franco Sampaio,Sem conta corrente,54,no credits taken/all credits paid back duly,Carro usado,23590,unknown/no savings account,1 <= ... < 4 years,2,male : single,none,2,building society savings agreement/life insurance,39,none,Própria,1,Emprego não qualificado,2,no,yes,1
Tiago Soares Peixoto,Saldo entre R$500 e R$1000,30,existing credits paid back duly till now,Eletrônicos,9580,... < 100 DM,... < 1 year,2,male : married/widowed,none,1,building society savings agreement/life insurance,22,none,Própria,1,Emprego qualificado,1,no,yes,1
Henrique Farias Moura,Sem conta corrente,24,existing credits paid back duly till now,Eletrodomésticos,14857,unknown/no savings account,... < 1 year,1,female : divorced/separated/married,none,1,car or other,44,none,Própria,2,Emprego qualificado,1,yes,yes,0
Dylan Carneiro Costa,Sem conta corrente,15,existing credits paid back duly till now,Eletrodomésticos,3032,500 <= ... < 1000 DM,... >= 7 years,4,male : single,none,3,building society savings agreement/life insurance,47,stores,Própria,1,Emprego qualificado,1,yes,yes,1
Bruno Morais Pacheco,Sem conta corrente,18,existing credits paid back duly till now,Outros,3920,100 <= ... < 500 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,4,building society savings agreement/life insurance,24,none,Alugada,1,Emprego não qualificado,1,no,yes,1
Murilo Maia Rabelo,Saldo < R$500,24,existing credits paid back duly till now,Outros,4387,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,guarantor,4,real estate,58,none,Própria,1,Emprego não qualificado,1,yes,yes,1
Antônio Barbosa Estrada,Saldo < R$500,10,existing credits paid back duly till now,Eletrodomésticos,5787,... < 100 DM,... >= 7 years,3,male : single,none,4,real estate,52,none,Própria,1,Emprego não qualificado,1,no,yes,1
Lorenzo Vieira Goulart,Sem conta corrente,12,critical account/other credits existing,Outros,3530,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,2,real estate,29,none,Própria,2,Outros,1,yes,yes,1
Dante Vieira Barbosa,Saldo entre R$500 e R$1000,18,critical account/other credits existing,Eletrônicos,3237,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/life insurance,27,none,Própria,2,Emprego qualificado,1,no,yes,1
Isaac Dantas Neves,Saldo entre R$500 e R$1000,36,existing credits paid back duly till now,Educação,31530,100 <= ... < 500 DM,1 <= ... < 4 years,1,male : single,none,4,unknown/no property,47,none,Cedida,1,Emprego qualificado,2,yes,yes,0
Benjamin Moraes Matos,Saldo < R$500,18,existing credits paid back duly till now,Carro novo,5622,100 <= ... < 500 DM,4 <= ... < 7 years,4,male : single,none,3,car or other,30,none,Própria,1,Outros,2,yes,yes,1
João Costa Kruger,Saldo < R$500,12,no credits taken/all credits paid back duly,Outros,2770,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,real estate,28,none,Própria,2,Emprego qualificado,1,no,yes,0
Nathan Fonseca Britto,Sem conta corrente,12,critical account/other credits existing,Eletrodomésticos,1545,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,56,none,Própria,1,Emprego qualificado,1,no,yes,1
Leonardo Cardoso Lobato,Saldo < R$500,12,critical account/other credits existing,Carro usado,3522,... < 100 DM,... >= 7 years,4,male : single,none,3,real estate,54,none,Própria,1,Emprego qualificado,1,no,yes,1
Igor Neto Alves,Sem conta corrente,12,critical account/other credits existing,Eletrodomésticos,1992,unknown/no savings account,... >= 7 years,4,female : divorced/separated/married,none,3,building society savings agreement/life insurance,33,bank,Própria,1,Emprego não qualificado,2,no,yes,0
Bruno Goulart Fogaça,Outros,24,critical account/other credits existing,Eletrônicos,9042,unknown/no savings account,... >= 7 years,4,male : single,co-applicant,4,unknown/no property,20,none,Alugada,2,Emprego qualificado,1,no,yes,1
José Silva Monteiro,Saldo entre R$500 e R$1000,12,existing credits paid back duly till now,Carro novo,3295,... >= 1000 DM,... >= 7 years,4,male : single,none,4,real estate,54,none,Própria,1,Emprego qualificado,1,yes,yes,1
Rafael Farias Sales,Saldo entre R$500 e R$1000,54,no credits taken/all credits paid back duly,Outros,39862,... < 100 DM,... < 1 year,3,male : single,none,4,unknown/no property,58,none,Alugada,1,Emprego qualificado,1,yes,yes,0
Samuel Lima Neto,Sem conta corrente,12,critical account/other credits existing,Educação,5030,unknown/no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,none,2,car or other,61,none,Própria,1,Emprego qualificado,1,no,yes,1
Rodrigo Monteiro Rabelo,Saldo entre R$500 e R$1000,18,existing credits paid back duly till now,Outros,6555,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,none,4,car or other,34,none,Própria,1,Emprego qualificado,1,no,yes,1
Antônio Barbosa Andrade,Saldo entre R$500 e R$1000,36,critical account/other credits existing,Eletrodomésticos,5842,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,36,none,Própria,1,Emprego qualificado,1,no,yes,1
Adriano Neves Andrade,Saldo entre R$500 e R$1000,20,delay in paying off in the past,Carro usado,17642,unknown/no savings account,4 <= ... < 7 years,3,male : single,none,4,building society savings agreement/life insurance,36,bank,Alugada,2,Outros,2,yes,yes,1
Kaique Cunha Reis,Sem conta corrente,24,existing credits paid back duly till now,Carro novo,3672,100 <= ... < 500 DM,... >= 7 years,4,male : married/widowed,none,4,real estate,41,none,Alugada,1,Emprego não qualificado,1,no,yes,1
Enzo Bastos Neto,Saldo entre R$500 e R$1000,36,existing credits paid back duly till now,Eletrodomésticos,5807,... < 100 DM,4 <= ... < 7 years,4,male : single,none,4,car or other,24,none,Alugada,1,Emprego qualificado,1,no,yes,1
Marcos Neto Moreira,Sem conta corrente,6,delay in paying off in the past,Eletrodomésticos,2330,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,real estate,24,none,Própria,1,Emprego qualificado,1,no,yes,1
Eduardo Matos Fraga,Saldo entre R$500 e R$1000,9,critical account/other credits existing,Eletrônicos,4797,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,car or other,35,none,Alugada,1,Emprego qualificado,1,yes,yes,1
Adriano Cruz Rabelo,Sem conta corrente,12,existing credits paid back duly till now,Carro usado,6112,unknown/no savings account,... < 1 year,2,male : married/widowed,none,4,car or other,26,none,Alugada,1,Emprego qualificado,1,yes,yes,1
Otávio Ramos Novaes,Saldo entre R$500 e R$1000,24,critical account/other credits existing,Outros,29845,... < 100 DM,1 <= ... < 4 years,2,male : single,co-applicant,3,car or other,39,none,Própria,2,Outros,2,yes,yes,0
Arthur Duarte Neves,Sem conta corrente,18,all credits at this bank paid back duly,Carro novo,16145,... < 100 DM,... >= 7 years,2,male : single,none,4,unknown/no property,39,bank,Própria,2,Outros,2,yes,yes,0
Gustavo Rocha Monteiro,Saldo entre R$500 e R$1000,12,existing credits paid back duly till now,Carro novo,15195,... < 100 DM,4 <= ... < 7 years,2,male : single,none,2,car or other,32,none,Própria,1,Emprego qualificado,1,no,yes,1
Fernando Pereira Alves,Saldo < R$500,24,existing credits paid back duly till now,Eletrônicos,19302,unknown/no savings account,... < 1 year,1,female : divorced/separated/married,none,2,building society savings agreement/life insurance,30,none,Própria,1,Emprego qualificado,1,yes,no,1
Dante Soares Neves,Saldo entre R$500 e R$1000,14,existing credits paid back duly till now,Outros,3525,500 <= ... < 1000 DM,... >= 7 years,1,male : married/widowed,none,2,real estate,35,none,Própria,1,Emprego qualificado,1,yes,yes,1
Fabio Amaral Estrada,Saldo entre R$500 e R$1000,6,delay in paying off in the past,Outros,3622,100 <= ... < 500 DM,... >= 7 years,1,male : divorced/separated,none,2,car or other,31,bank,Própria,2,Emprego qualificado,2,no,yes,1
Carlos Dias Freitas,Outros,15,existing credits paid back duly till now,Educação,980,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/life insurance,23,none,Alugada,1,Emprego qualificado,1,yes,yes,1
Enzo Cavalcanti Assis,Saldo entre R$500 e R$1000,18,existing credits paid back duly till now,Carro novo,15650,... < 100 DM,4 <= ... < 7 years,3,male : single,none,3,real estate,28,none,Alugada,1,Emprego não qualificado,1,no,yes,1
Marcos Marques Moura,Sem conta corrente,36,critical account/other credits existing,Carro novo,19637,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,25,stores,Própria,2,Emprego qualificado,1,yes,yes,0
André Freitas Morais,Saldo < R$500,12,existing credits paid back duly till now,Eletrodomésticos,4200,500 <= ... < 1000 DM,... >= 7 years,3,male : married/widowed,none,1,real estate,35,none,Própria,1,Emprego qualificado,1,no,yes,1
Ricardo Siqueira Morais,Sem conta corrente,48,critical account/other credits existing,Eletrodomésticos,8945,unknown/no savings account,... >= 7 years,4,male : single,none,1,real estate,47,none,Própria,1,Emprego qualificado,1,yes,yes,1
Anthony Tavares Monteiro,Saldo < R$500,42,existing credits paid back duly till now,Eletrodomésticos,17935,unknown/no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,car or other,30,none,Própria,1,Outros,1,yes,yes,0
Rodrigo Souza Cruz,Saldo < R$500,10,critical account/other credits existing,Eletrônicos,5330,unknown/no savings account,... < 1 year,2,female : divorced/separated/married,co-applicant,3,real estate,27,none,Alugada,2,Emprego qualificado,1,no,no,1
Emanuel Correa Soares,Saldo < R$500,33,critical account/other credits existing,Eletrônicos,10702,500 <= ... < 1000 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,car or other,23,none,Própria,2,Emprego qualificado,1,no,yes,0
Sérgio Kruger Freitas,Saldo entre R$500 e R$1000,12,critical account/other credits existing,Carro novo,5915,500 <= ... < 1000 DM,4 <= ... < 7 years,3,male : divorced/separated,none,3,car or other,36,none,Própria,1,Outros,1,yes,yes,1
